INFO:root:Application Started
INFO:tornado.access:200 POST /events (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.42ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.40ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.40ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.61ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.39ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.40ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.74ms
INFO:tornado.access:200 POST /events (127.0.0.1) 1.51ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.39ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.33ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.33ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.63ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.32ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.39ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.33ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.41ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.83ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.63ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.39ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.40ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.39ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.61ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.34ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.34ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.75ms
INFO:tornado.access:200 POST /events (127.0.0.1) 1.52ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.44ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.32ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.65ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.32ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.31ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.32ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.89ms
INFO:tornado.access:200 POST /events (127.0.0.1) 1.50ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.67ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.67ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.44ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.60ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.33ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.32ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.35ms
